Rank,Title,Author,Rating,Reviews,Price,URL,Description,Publisher,Publication Date
,Bound in Blood (Broken Bloodlines Book 3),Sadie Kincaid,4.4,,,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0DDY763WZ/,,,
,Eldrith Manor,Leigh Rivers,4.2,,,https://www.amazon.com/Eldrith-Manor-Leigh-Rivers-ebook/dp/B0FDF3H3CD/,,,
,The Crown of Gilded Bones (Blood And Ash Book 3),Jennifer L. Armentrout,4.6,,,https://www.amazon.com/Crown-Gilded-Bones-Blood-Book-ebook/dp/B08NS24X2T/,,,
,How To Tell If Your K-9 Is A Demon: A Paranormal Romantic Comedy,Trista Ricketts,4.5,,,https://www.amazon.com/How-Tell-Your-K-9-Demon-ebook/dp/B0GCPQH68P/,,,
,Mate,Ali Hazelwood,4.4,,,https://www.amazon.com/Mate-Ali-Hazelwood-ebook/dp/B0DY3SL9FW/,The instant #1,,
,Eclipsed Heart (Twisted Fate Trilogy Book 2),Jen L. Grey,4.4,,,https://www.amazon.com/Eclipsed-Heart-Twisted-Fate-Trilogy-ebook/dp/B0CGK3B64M/,Fate made a mistake that we may never recover from.,,
,Her Irish Dragons (Irish Shifters Book 3),Theodora Taylor,3.6,,,https://www.amazon.com/Her-Irish-Dragons-Shifters-Book-ebook/dp/B0FBSF6G1G/,,,
,The Ice Tyrant's Fated Mate (Hollow Earth Ice Dragons Book 1),Riley Storm,4.5,,,https://www.amazon.com/Tyrants-Fated-Hollow-Earth-Dragons-ebook/dp/B0GKYZRQC5/,,,
,The War of Two Queens (Blood And Ash Book 4),Jennifer L. Armentrout,4.4,,,https://www.amazon.com/War-Two-Queens-Blood-Book-ebook/dp/B0992Y537S/,,,
,Fated to the Feral Wolf: A Fated Mates Wolf Shifter Paranormal Romance (The Hunted Omegas Book 2),April L. Moon,4.4,,,https://www.amazon.com/Fated-Feral-Wolf-Shifter-Paranormal-ebook/dp/B0CQQFZ28W/,"I never would have seen him coming, not in a million years. Feral. Growling.",,
,Fearless Bond (Bears of Beauville Book 1),Roe Horvat,4.2,,,https://www.amazon.com/Fearless-Bond-Bears-Beauville-Book-ebook/dp/B0DK1T1XPT/,Calvin,,
,Her Soul to Take (Souls Trilogy),Harley Laroux,4.4,,,https://www.amazon.com/Her-Soul-Take-Souls-Trilogy-ebook/dp/B08WJHGH2T/,,,
,Witches With Benefits (A Nightshade Detective Agency Cozy Mystery Book 1),Amanda M. Lee,4.7,,,https://www.amazon.com/Witches-Benefits-Nightshade-Detective-Mystery-ebook/dp/B0FCDS2SSG/,,,
